case_name,aggregate_sources_json,qualified,route_state,executed,execution_status,record_result,succeeded,verified_empty,truncated,upstream_total_unknown,failed,record_count,returned_count,completeness,upstream_total,pages_fetched,truncation_reason,reason_code,warning_count,warnings_json,elapsed_seconds,qualified_source_route,provider_database_scope
mos2-band-gap,[],True,ready,True,succeeded,complete,True,False,False,False,False,19,19,complete,,1,,records_returned,0,[],3.041637,aflow,aflow
mos2-band-gap,[],True,ready,True,succeeded,complete,True,False,False,False,False,15,15,complete,,1,,records_returned,0,[],1.807222,alexandria,alexandria
mos2-band-gap,[],True,ready,True,succeeded,complete,True,False,False,False,False,3,3,complete,3,1,,records_returned,0,[],2.171884,c2db,c2db
mos2-band-gap,[],True,ready,True,succeeded,complete,True,False,False,False,False,9,9,complete,9,1,,records_returned,0,[],2.723947,cod,cod
mos2-band-gap,[],True,ready,True,succeeded,complete,True,False,False,False,False,10,10,complete,10,1,,records_returned,0,[],28.371332,jarvis_dft,jarvis_dft
mos2-band-gap,[],True,ready,True,succeeded,complete,True,False,False,False,False,12,12,complete,,1,,records_returned,0,[],3.546536,materials_project,materials_project
mos2-band-gap,"[""materialsgalaxy:ferroelectric"",""materialsgalaxy:layered_structures"",""materialsgalaxy:nonlinear_optical"",""materialsgalaxy:sc_growth"",""materialsgalaxy:topo_crystals"",""materialsgalaxy:topo_phonons""]",True,ready,True,succeeded,complete,True,False,False,False,False,9,9,complete,9,1,,records_returned,0,[],0.562003,materialsgalaxy,materialsgalaxy
mos2-band-gap,[],True,ready,True,failed,failed,False,False,False,False,True,0,,not_applicable,,0,,upstream_access_denied,1,"[{""failure_type"":null,""message"":""{\""failure_type\"":\""access_blocker\"",\""message\"":\""HTTP 402 PAYMENT REQUIRED for https://api.mpds.io/v0/download/facet?q=%7B%22formulae%22%3A%22MoS2%22%2C%22props%22%3A%22atomic+structure%22%7D&pagesize=1000&dtype=1&fmt=json&page=0\"",\""reason_code\"":\""upstream_access_denied\"",\""source\"":\""mpds\""}"",""reason_code"":""source_warning""}]",1.46277,mpds,mpds
mos2-band-gap,[],True,ready,True,succeeded,complete,True,False,False,False,False,376,376,complete,376,4,,records_returned,0,[],4.702965,nomad,nomad
mos2-band-gap,[],True,ready,True,failed,failed,False,False,False,False,True,0,,not_applicable,,0,,upstream_connection_error,1,"[{""failure_type"":null,""message"":""{\""failure_type\"":\""service_failure\"",\""message\"":\""Server disconnected without sending a response.\"",\""reason_code\"":\""upstream_connection_error\"",\""source\"":\""optimade:mpddoptimade.phaseslab.org\""}"",""reason_code"":""source_warning""}]",5.248771,optimade:mpddoptimade.phaseslab.org,optimade:mpddoptimade.phaseslab.org
mos2-band-gap,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],3.324481,optimade:optimade-gnome.odbx.science,optimade:optimade-gnome.odbx.science
mos2-band-gap,[],True,ready,True,succeeded,complete,True,False,False,False,False,3,3,complete,3,1,,records_returned,0,[],2.6882,optimade:optimade-misc.odbx.science,optimade:optimade-misc.odbx.science
mos2-band-gap,[],True,ready,True,succeeded,complete,True,False,False,False,False,2,2,complete,2,1,,records_returned,0,[],0.654386,optimade:optimade.2dmatpedia.org,optimade:optimade.2dmatpedia.org
mos2-band-gap,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],1.629367,optimade:optimade.materialscloud.org/archive/1z-pd,optimade:optimade.materialscloud.org
mos2-band-gap,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],1.335628,optimade:optimade.materialscloud.org/archive/ed-g2,optimade:optimade.materialscloud.org
mos2-band-gap,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],0.434313,optimade:optimade.materialscloud.org/archive/jk-9v,optimade:optimade.materialscloud.org
mos2-band-gap,[],True,ready,True,succeeded,complete,True,False,False,False,False,4,4,complete,4,1,,records_returned,0,[],0.398304,optimade:optimade.materialscloud.org/archive/m0-zg,optimade:optimade.materialscloud.org
mos2-band-gap,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],1.001925,optimade:optimade.materialscloud.org/archive/zt-z4,optimade:optimade.materialscloud.org
mos2-band-gap,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],1.365907,optimade:optimade.materialscloud.org/main/2dtopo,optimade:optimade.materialscloud.org
mos2-band-gap,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],0.378097,optimade:optimade.materialscloud.org/main/autowannier,optimade:optimade.materialscloud.org
mos2-band-gap,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],0.35601,optimade:optimade.materialscloud.org/main/curated-cofs,optimade:optimade.materialscloud.org
mos2-band-gap,[],True,ready,True,succeeded,complete,True,False,False,False,False,3,3,complete,3,1,,records_returned,0,[],0.344416,optimade:optimade.materialscloud.org/main/mc2d,optimade:optimade.materialscloud.org
mos2-band-gap,[],True,ready,True,succeeded,complete,True,False,False,False,False,4,4,complete,4,1,,records_returned,0,[],1.249204,optimade:optimade.materialscloud.org/main/mc3d-pbe-v1,optimade:optimade.materialscloud.org
mos2-band-gap,[],True,ready,True,succeeded,complete,True,False,False,False,False,5,5,complete,5,1,,records_returned,0,[],0.46812,optimade:optimade.materialscloud.org/main/mc3d-pbesol-v1,optimade:optimade.materialscloud.org
mos2-band-gap,[],True,ready,True,succeeded,complete,True,False,False,False,False,5,5,complete,5,1,,records_returned,0,[],0.356856,optimade:optimade.materialscloud.org/main/mc3d-pbesol-v2,optimade:optimade.materialscloud.org
mos2-band-gap,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],0.36478,optimade:optimade.materialscloud.org/main/pyrene-mofs,optimade:optimade.materialscloud.org
mos2-band-gap,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],0.326071,optimade:optimade.materialscloud.org/main/stoceriaitf,optimade:optimade.materialscloud.org
mos2-band-gap,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],0.393126,optimade:optimade.materialscloud.org/main/tin-antimony-sulfoiodide,optimade:optimade.materialscloud.org
mos2-band-gap,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],1.318475,optimade:optimade.odbx.science,optimade:optimade.odbx.science
mos2-band-gap,[],True,ready,True,succeeded,complete,True,False,False,False,False,2,2,complete,2,1,,records_returned,0,[],1.714766,optimade:optimade.openmaterialsdb.se,optimade:optimade.openmaterialsdb.se
mos2-band-gap,[],True,ready,True,failed,failed,False,False,False,False,True,0,,not_applicable,,0,,upstream_http_unavailable,1,"[{""failure_type"":null,""message"":""{\""failure_type\"":\""service_failure\"",\""message\"":\""HTTP 502 Bad Gateway for https://oqmd.org/oqmdapi/formationenergy?fields=name%2Centry_id%2Cicsd_id%2Cprototype%2Cntypes%2Cnatoms%2Cvolume%2Cdelta_e%2Cband_gap%2Cstability%2Cspacegroup&limit=512&format=json&composition=MoS2&offset=0\"",\""reason_code\"":\""upstream_http_unavailable\"",\""source\"":\""oqmd\""}"",""reason_code"":""source_warning""}]",31.735808,oqmd,oqmd
mos2-band-gap,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],2.311004,tcod,tcod
lifepo4-stability,[],True,ready,True,succeeded,complete,True,False,False,False,False,35,35,complete,,1,,records_returned,0,[],4.96931,aflow,aflow
lifepo4-stability,[],True,ready,True,succeeded,complete,True,False,False,False,False,54,54,complete,,3,,records_returned,0,[],4.527188,alexandria,alexandria
lifepo4-stability,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],3.360281,c2db,c2db
lifepo4-stability,[],True,ready,True,succeeded,complete,True,False,False,False,False,11,11,complete,11,1,,records_returned,0,[],4.458173,cod,cod
lifepo4-stability,[],True,ready,True,succeeded,complete,True,False,False,False,False,20,20,complete,20,1,,records_returned,0,[],3.330642,jarvis_dft,jarvis_dft
lifepo4-stability,[],True,ready,True,succeeded,complete,True,False,False,False,False,70,70,complete,,1,,records_returned,0,[],2.728375,materials_project,materials_project
lifepo4-stability,"[""materialsgalaxy:ferroelectric"",""materialsgalaxy:layered_structures"",""materialsgalaxy:nonlinear_optical"",""materialsgalaxy:sc_growth"",""materialsgalaxy:topo_crystals"",""materialsgalaxy:topo_phonons""]",True,ready,True,succeeded,complete,True,False,False,False,False,3,3,complete,3,1,,records_returned,0,[],2.640918,materialsgalaxy,materialsgalaxy
lifepo4-stability,[],True,ready,True,failed,failed,False,False,False,False,True,0,,not_applicable,,0,,upstream_access_denied,1,"[{""failure_type"":null,""message"":""{\""failure_type\"":\""access_blocker\"",\""message\"":\""HTTP 402 PAYMENT REQUIRED for https://api.mpds.io/v0/download/facet?q=%7B%22formulae%22%3A%22LiFePO4%22%2C%22props%22%3A%22atomic+structure%22%7D&pagesize=1000&dtype=1&fmt=json&page=0\"",\""reason_code\"":\""upstream_access_denied\"",\""source\"":\""mpds\""}"",""reason_code"":""source_warning""}]",1.482446,mpds,mpds
lifepo4-stability,[],True,ready,True,succeeded,complete,True,False,False,False,False,246,246,complete,246,3,,records_returned,0,[],5.743459,nomad,nomad
lifepo4-stability,[],True,ready,True,failed,failed,False,False,False,False,True,0,,not_applicable,,0,,upstream_connection_error,1,"[{""failure_type"":null,""message"":""{\""failure_type\"":\""service_failure\"",\""message\"":\""Server disconnected without sending a response.\"",\""reason_code\"":\""upstream_connection_error\"",\""source\"":\""optimade:mpddoptimade.phaseslab.org\""}"",""reason_code"":""source_warning""}]",3.299416,optimade:mpddoptimade.phaseslab.org,optimade:mpddoptimade.phaseslab.org
lifepo4-stability,[],True,ready,True,succeeded,complete,True,False,False,False,False,1,1,complete,1,1,,records_returned,0,[],2.67401,optimade:optimade-gnome.odbx.science,optimade:optimade-gnome.odbx.science
lifepo4-stability,[],True,ready,True,succeeded,complete,True,False,False,False,False,3,3,complete,3,1,,records_returned,0,[],2.397155,optimade:optimade-misc.odbx.science,optimade:optimade-misc.odbx.science
lifepo4-stability,[],True,ready,True,succeeded,complete,True,False,False,False,False,2,2,complete,2,1,,records_returned,0,[],0.509735,optimade:optimade.2dmatpedia.org,optimade:optimade.2dmatpedia.org
lifepo4-stability,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],1.186917,optimade:optimade.materialscloud.org/archive/1z-pd,optimade:optimade.materialscloud.org
lifepo4-stability,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],1.439231,optimade:optimade.materialscloud.org/archive/ed-g2,optimade:optimade.materialscloud.org
lifepo4-stability,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],1.338121,optimade:optimade.materialscloud.org/archive/jk-9v,optimade:optimade.materialscloud.org
lifepo4-stability,[],True,ready,True,succeeded,complete,True,False,False,False,False,3,3,complete,3,1,,records_returned,0,[],0.827348,optimade:optimade.materialscloud.org/archive/m0-zg,optimade:optimade.materialscloud.org
lifepo4-stability,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],1.240821,optimade:optimade.materialscloud.org/archive/zt-z4,optimade:optimade.materialscloud.org
lifepo4-stability,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],0.618949,optimade:optimade.materialscloud.org/main/2dtopo,optimade:optimade.materialscloud.org
lifepo4-stability,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],0.541664,optimade:optimade.materialscloud.org/main/autowannier,optimade:optimade.materialscloud.org
lifepo4-stability,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],0.423873,optimade:optimade.materialscloud.org/main/curated-cofs,optimade:optimade.materialscloud.org
lifepo4-stability,[],True,ready,True,succeeded,complete,True,False,False,False,False,1,1,complete,1,1,,records_returned,0,[],1.206937,optimade:optimade.materialscloud.org/main/mc2d,optimade:optimade.materialscloud.org
lifepo4-stability,[],True,ready,True,succeeded,complete,True,False,False,False,False,3,3,complete,3,1,,records_returned,0,[],1.053515,optimade:optimade.materialscloud.org/main/mc3d-pbe-v1,optimade:optimade.materialscloud.org
lifepo4-stability,[],True,ready,True,succeeded,complete,True,False,False,False,False,6,6,complete,6,1,,records_returned,0,[],1.295355,optimade:optimade.materialscloud.org/main/mc3d-pbesol-v1,optimade:optimade.materialscloud.org
lifepo4-stability,[],True,ready,True,succeeded,complete,True,False,False,False,False,4,4,complete,4,1,,records_returned,0,[],0.352613,optimade:optimade.materialscloud.org/main/mc3d-pbesol-v2,optimade:optimade.materialscloud.org
lifepo4-stability,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],0.324502,optimade:optimade.materialscloud.org/main/pyrene-mofs,optimade:optimade.materialscloud.org
lifepo4-stability,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],0.457281,optimade:optimade.materialscloud.org/main/stoceriaitf,optimade:optimade.materialscloud.org
lifepo4-stability,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],0.332854,optimade:optimade.materialscloud.org/main/tin-antimony-sulfoiodide,optimade:optimade.materialscloud.org
lifepo4-stability,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],1.239463,optimade:optimade.odbx.science,optimade:optimade.odbx.science
lifepo4-stability,[],True,ready,True,succeeded,complete,True,False,False,False,False,3,3,complete,3,1,,records_returned,0,[],1.583743,optimade:optimade.openmaterialsdb.se,optimade:optimade.openmaterialsdb.se
lifepo4-stability,[],True,ready,True,failed,failed,False,False,False,False,True,0,,not_applicable,,0,,upstream_http_unavailable,1,"[{""failure_type"":null,""message"":""{\""failure_type\"":\""service_failure\"",\""message\"":\""HTTP 502 Bad Gateway for https://oqmd.org/oqmdapi/formationenergy?fields=name%2Centry_id%2Cicsd_id%2Cprototype%2Cntypes%2Cnatoms%2Cvolume%2Cdelta_e%2Cband_gap%2Cstability%2Cspacegroup&limit=512&format=json&composition=LiFePO4&offset=0\"",\""reason_code\"":\""upstream_http_unavailable\"",\""source\"":\""oqmd\""}"",""reason_code"":""source_warning""}]",31.571472,oqmd,oqmd
lifepo4-stability,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],4.264493,tcod,tcod
bi2se3-topology,[],True,ready,True,succeeded,complete,True,False,False,False,False,12,12,complete,,3,,records_returned,0,[],8.587084,aflow,aflow
bi2se3-topology,[],True,ready,True,succeeded,complete,True,False,False,False,False,22,22,complete,,1,,records_returned,0,[],3.713426,alexandria,alexandria
bi2se3-topology,[],True,ready,True,succeeded,complete,True,False,False,False,False,1,1,complete,1,1,,records_returned,0,[],3.762031,c2db,c2db
bi2se3-topology,[],True,ready,True,succeeded,complete,True,False,False,False,False,4,4,complete,4,1,,records_returned,0,[],4.167373,cod,cod
bi2se3-topology,[],True,ready,True,succeeded,complete,True,False,False,False,False,2,2,complete,2,1,,records_returned,0,[],1.950672,jarvis_dft,jarvis_dft
bi2se3-topology,[],True,ready,True,succeeded,complete,True,False,False,False,False,4,4,complete,,1,,records_returned,0,[],1.317398,materials_project,materials_project
bi2se3-topology,"[""materialsgalaxy:ferroelectric"",""materialsgalaxy:layered_structures"",""materialsgalaxy:nonlinear_optical"",""materialsgalaxy:sc_growth"",""materialsgalaxy:topo_crystals"",""materialsgalaxy:topo_phonons""]",True,ready,True,succeeded,complete,True,False,False,False,False,2,2,complete,2,1,,records_returned,0,[],2.095603,materialsgalaxy,materialsgalaxy
bi2se3-topology,[],True,ready,True,failed,failed,False,False,False,False,True,0,,not_applicable,,0,,upstream_access_denied,1,"[{""failure_type"":null,""message"":""{\""failure_type\"":\""access_blocker\"",\""message\"":\""HTTP 402 PAYMENT REQUIRED for https://api.mpds.io/v0/download/facet?q=%7B%22formulae%22%3A%22Bi2Se3%22%2C%22props%22%3A%22atomic+structure%22%7D&pagesize=1000&dtype=1&fmt=json&page=0\"",\""reason_code\"":\""upstream_access_denied\"",\""source\"":\""mpds\""}"",""reason_code"":""source_warning""}]",1.376699,mpds,mpds
bi2se3-topology,[],True,ready,True,succeeded,complete,True,False,False,False,False,79,79,complete,79,1,,records_returned,0,[],3.849966,nomad,nomad
bi2se3-topology,[],True,ready,True,failed,failed,False,False,False,False,True,0,,not_applicable,,0,,upstream_connection_error,1,"[{""failure_type"":null,""message"":""{\""failure_type\"":\""service_failure\"",\""message\"":\""Server disconnected without sending a response.\"",\""reason_code\"":\""upstream_connection_error\"",\""source\"":\""optimade:mpddoptimade.phaseslab.org\""}"",""reason_code"":""source_warning""}]",5.288001,optimade:mpddoptimade.phaseslab.org,optimade:mpddoptimade.phaseslab.org
bi2se3-topology,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],3.065091,optimade:optimade-gnome.odbx.science,optimade:optimade-gnome.odbx.science
bi2se3-topology,[],True,ready,True,succeeded,complete,True,False,False,False,False,3,3,complete,3,1,,records_returned,0,[],2.528475,optimade:optimade-misc.odbx.science,optimade:optimade-misc.odbx.science
bi2se3-topology,[],True,ready,True,succeeded,complete,True,False,False,False,False,4,4,complete,4,1,,records_returned,0,[],0.534394,optimade:optimade.2dmatpedia.org,optimade:optimade.2dmatpedia.org
bi2se3-topology,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],1.266444,optimade:optimade.materialscloud.org/archive/1z-pd,optimade:optimade.materialscloud.org
bi2se3-topology,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],1.386118,optimade:optimade.materialscloud.org/archive/ed-g2,optimade:optimade.materialscloud.org
bi2se3-topology,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],1.393782,optimade:optimade.materialscloud.org/archive/jk-9v,optimade:optimade.materialscloud.org
