case_name,source,source_id,formula,property,semantic,value_json,unit,context_json,provenance_json,limitations_json,record_item_id
mos2-band-gap,aflow,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mo1S2_ICSD_49801,Mo2S4,band_gap_eV,electronic_band_gap,1.2384,eV,"{""code"":null,""dimensionality"":null,""functional"":null,""gap_character"":null,""gap_observable_level"":null,""geometry_state"":null,""hubbard_u_eV"":{""j_eV"":[0,0],""orbital_l"":[2,0],""source_type"":2,""species"":[""Mo"",""S""],""u_eV"":[2.4,0]},""magnetic_configuration"":null,""method_family"":""DFT"",""modality"":null,""pressure_GPa"":null,""relativity_method"":null,""soc"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""workflow"":""AFLOW automated calculation""}","{""citation"":null,""endpoint"":""https://aflow.org/API/aflux"",""evidence_source"":""aflow"",""evidence_source_id"":""aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mo1S2_ICSD_49801"",""link"":""https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/HEX/Mo1S2_ICSD_49801"",""native_field"":""Egap"",""native_semantic"":""electronic_band_gap"",""origin"":""aflow_aflux"",""raw_unit"":""eV"",""raw_value"":1.2384,""retrieved_at"":""2026-08-09T20:08:21.825309+00:00"",""source_native_method_context"":{""dft_type"":[""PAW_PBE""],""ldau_j"":[0,0],""ldau_l"":[2,0],""ldau_type"":2,""ldau_u"":[2.4,0]}}","[""code_functional_and_soc_are_not_canonicalized_from_the_aflux_record""]",sha256:0095886775844406b5f041ab1caef2896ffcbcdc83b320d43272a19b33767bd3
mos2-band-gap,alexandria,agm005276747,MoS2,band_gap_eV,electronic_band_gap,0.0,eV,"{""code"":null,""dimensionality"":null,""functional"":null,""gap_character"":null,""gap_observable_level"":null,""geometry_state"":null,""hubbard_u_eV"":null,""magnetic_configuration"":null,""method_family"":null,""modality"":null,""pressure_GPa"":null,""relativity_method"":null,""soc"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""workflow"":null}","{""citation"":null,""endpoint"":""https://alexandria.icams.rub.de"",""evidence_source"":""alexandria"",""evidence_source_id"":""agm005276747"",""link"":""https://alexandria.icams.rub.de"",""native_field"":""band_gap_ind"",""origin"":""alexandria_public_website"",""raw_unit"":""eV"",""raw_value"":0.0,""retrieved_at"":""2026-08-09T20:08:16.987536+00:00""}","[""functional_not_provided_by_public_website""]",sha256:02fc1d652f07c7dc2aa97bd954d1ac4af0e372d6404c398fcc784300bce3dfac
mos2-band-gap,alexandria,agm005276747,MoS2,energy_above_hull_eV,energy_above_convex_hull_per_atom,0.27922624,eV/atom,"{""code"":null,""corrections"":null,""dimensionality"":null,""functional"":null,""geometry_state"":null,""hubbard_u_eV"":null,""hull_construction"":null,""magnetic_configuration"":null,""method_family"":null,""pressure_GPa"":null,""reference_state"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""thermodynamic_ensemble"":null,""workflow"":null}","{""citation"":null,""endpoint"":""https://alexandria.icams.rub.de"",""evidence_source"":""alexandria"",""evidence_source_id"":""agm005276747"",""link"":""https://alexandria.icams.rub.de"",""native_field"":""e_above_hull"",""origin"":""alexandria_public_website"",""raw_unit"":""eV/atom"",""raw_value"":0.27922624,""retrieved_at"":""2026-08-09T20:08:16.987536+00:00""}","[""functional_not_provided_by_public_website""]",sha256:02fc1d652f07c7dc2aa97bd954d1ac4af0e372d6404c398fcc784300bce3dfac
mos2-band-gap,oqmd,1440942,MoS2,band_gap_eV,electronic_band_gap,5.306,eV,"{""code"":null,""dimensionality"":null,""functional"":null,""gap_character"":null,""gap_observable_level"":null,""geometry_state"":null,""hubbard_u_eV"":null,""magnetic_configuration"":null,""method_family"":null,""modality"":null,""pressure_GPa"":null,""relativity_method"":null,""soc"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""workflow"":null}","{""citation"":null,""native_field"":""band_gap"",""origin"":""oqmd_formationenergy_search"",""raw_unit"":""eV"",""raw_value"":5.306,""retrieved_at"":""2026-08-09T20:08:26.156531+00:00""}","[""scientific_context_not_reported_by_oqmd_endpoint""]",sha256:12bb2fd82abdf3a7dfc83d50add5371922317f9671ff2ea700e8eb90ce816d16
mos2-band-gap,oqmd,1440942,MoS2,energy_above_hull_eV,energy_above_convex_hull_per_atom,0.5885321016666663,eV/atom,"{""code"":null,""corrections"":null,""dimensionality"":null,""functional"":null,""geometry_state"":null,""hubbard_u_eV"":null,""hull_construction"":null,""magnetic_configuration"":null,""method_family"":null,""pressure_GPa"":null,""reference_state"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""thermodynamic_ensemble"":null,""workflow"":null}","{""citation"":null,""native_field"":""stability"",""origin"":""oqmd_formationenergy_search"",""raw_unit"":""eV/atom"",""raw_value"":0.5885321016666663,""retrieved_at"":""2026-08-09T20:08:26.156531+00:00""}","[""scientific_context_not_reported_by_oqmd_endpoint""]",sha256:12bb2fd82abdf3a7dfc83d50add5371922317f9671ff2ea700e8eb90ce816d16
mos2-band-gap,oqmd,1440942,MoS2,formation_energy_per_atom_eV,formation_energy_per_atom,-0.4726478193422376,eV/atom,"{""code"":null,""corrections"":null,""dimensionality"":null,""functional"":null,""geometry_state"":null,""hubbard_u_eV"":null,""magnetic_configuration"":null,""method_family"":null,""pressure_GPa"":null,""reference_state"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""workflow"":null}","{""citation"":null,""native_field"":""delta_e"",""origin"":""oqmd_formationenergy_search"",""raw_unit"":""eV/atom"",""raw_value"":-0.4726478193422376,""retrieved_at"":""2026-08-09T20:08:26.156531+00:00""}","[""scientific_context_not_reported_by_oqmd_endpoint""]",sha256:12bb2fd82abdf3a7dfc83d50add5371922317f9671ff2ea700e8eb90ce816d16
mos2-band-gap,alexandria,agm005429498,MoS2,band_gap_eV,electronic_band_gap,0.0463,eV,"{""code"":null,""dimensionality"":null,""functional"":null,""gap_character"":null,""gap_observable_level"":null,""geometry_state"":null,""hubbard_u_eV"":null,""magnetic_configuration"":null,""method_family"":null,""modality"":null,""pressure_GPa"":null,""relativity_method"":null,""soc"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""workflow"":null}","{""citation"":null,""endpoint"":""https://alexandria.icams.rub.de"",""evidence_source"":""alexandria"",""evidence_source_id"":""agm005429498"",""link"":""https://alexandria.icams.rub.de"",""native_field"":""band_gap_ind"",""origin"":""alexandria_public_website"",""raw_unit"":""eV"",""raw_value"":0.0463,""retrieved_at"":""2026-08-09T20:08:16.987780+00:00""}","[""functional_not_provided_by_public_website""]",sha256:15288e799a5d2327e554a2194fc5d6960a05374d7ee4106c178ffa3e2f851f54
mos2-band-gap,alexandria,agm005429498,MoS2,energy_above_hull_eV,energy_above_convex_hull_per_atom,0.6447464,eV/atom,"{""code"":null,""corrections"":null,""dimensionality"":null,""functional"":null,""geometry_state"":null,""hubbard_u_eV"":null,""hull_construction"":null,""magnetic_configuration"":null,""method_family"":null,""pressure_GPa"":null,""reference_state"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""thermodynamic_ensemble"":null,""workflow"":null}","{""citation"":null,""endpoint"":""https://alexandria.icams.rub.de"",""evidence_source"":""alexandria"",""evidence_source_id"":""agm005429498"",""link"":""https://alexandria.icams.rub.de"",""native_field"":""e_above_hull"",""origin"":""alexandria_public_website"",""raw_unit"":""eV/atom"",""raw_value"":0.6447464,""retrieved_at"":""2026-08-09T20:08:16.987780+00:00""}","[""functional_not_provided_by_public_website""]",sha256:15288e799a5d2327e554a2194fc5d6960a05374d7ee4106c178ffa3e2f851f54
mos2-band-gap,jarvis_dft,JVASP-228#field=mbj_bandgap,MoS2,band_gap_eV,electronic_band_gap,0.0,eV,"{""code"":null,""dimensionality"":""2D-bulk"",""functional"":""MBJ"",""gap_character"":null,""gap_observable_level"":null,""geometry_state"":null,""hubbard_u_eV"":null,""magnetic_configuration"":null,""method_family"":""DFT"",""modality"":null,""pressure_GPa"":null,""relativity_method"":null,""soc"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""workflow"":null}","{""citation"":null,""dataset_snapshot"":{""data_url"":""https://ndownloader.figshare.com/files/38521619"",""figshare_file_id"":""38521619"",""filename"":""jdft_3d-12-12-2022.json"",""fixed_default"":true,""id"":""dft_3d_2022-12-12"",""snapshot_date"":""2022-12-12""},""evidence_source"":""jarvis_dft"",""evidence_source_id"":""JVASP-228#field=mbj_bandgap"",""link"":""<a href=https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-228.xml target='_blank' >JVASP-228</a>"",""native_field"":""mbj_bandgap"",""origin"":""jarvis_dft_summary"",""raw_unit"":""eV"",""raw_value"":0.0,""retrieved_at"":""2026-08-09T20:08:43.699920+00:00"",""selection"":{""reason"":""multiple_source_observations"",""status"":""unselected""}}","[""multiple_functional_band_gaps_preserved_without_primary""]",sha256:18220e22aea0e06655a650253c87eee14260b38d899e7b0e34f2f700af784c2b
mos2-band-gap,jarvis_dft,JVASP-228#field=optb88vdw_bandgap,MoS2,band_gap_eV,electronic_band_gap,0.0,eV,"{""code"":null,""dimensionality"":""2D-bulk"",""functional"":""OptB88vdW"",""gap_character"":null,""gap_observable_level"":null,""geometry_state"":null,""hubbard_u_eV"":null,""magnetic_configuration"":null,""method_family"":""DFT"",""modality"":null,""pressure_GPa"":null,""relativity_method"":null,""soc"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""workflow"":null}","{""citation"":null,""dataset_snapshot"":{""data_url"":""https://ndownloader.figshare.com/files/38521619"",""figshare_file_id"":""38521619"",""filename"":""jdft_3d-12-12-2022.json"",""fixed_default"":true,""id"":""dft_3d_2022-12-12"",""snapshot_date"":""2022-12-12""},""evidence_source"":""jarvis_dft"",""evidence_source_id"":""JVASP-228#field=optb88vdw_bandgap"",""link"":""<a href=https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-228.xml target='_blank' >JVASP-228</a>"",""native_field"":""optb88vdw_bandgap"",""origin"":""jarvis_dft_summary"",""raw_unit"":""eV"",""raw_value"":0.0,""retrieved_at"":""2026-08-09T20:08:43.699920+00:00"",""selection"":{""reason"":""multiple_source_observations"",""status"":""unselected""}}","[""multiple_functional_band_gaps_preserved_without_primary""]",sha256:18220e22aea0e06655a650253c87eee14260b38d899e7b0e34f2f700af784c2b
