case_name,shard_bundle_id,qualified_source_route,output_sources_json,status,reason_code,record_count,returned_count,actual_bundle_record_count,actual_bundle_record_sources_json,record_count_matches_actual,returned_count_matches_actual,record_completeness_state,upstream_total,pages_fetched,last_cursor,exhaustion_evidence,truncation_reason
mos2-band-gap,sha256:c40d3687e2269c7e80976f129c9b7d5a1c262a03209d7106f216116b3477dcfc,aflow,"[""aflow""]",succeeded,records_returned,19,19,19,"[[""aflow"",19]]",True,True,complete,,1,1,aflow_short_page,
mos2-band-gap,sha256:d64f764f46cc481b16aac8c4fd903a5dd486693f8c2dd05cbe3dfc2585de8431,alexandria,"[""alexandria""]",succeeded,records_returned,15,15,15,"[[""alexandria"",15]]",True,True,complete,,1,,alexandria_next_cursor_absent,
mos2-band-gap,sha256:6c096fedc0e655ed1264955cf956a85f85de3592cb8cb5068a381704ccb71009,c2db,"[""c2db""]",succeeded,records_returned,3,3,3,"[[""c2db"",3]]",True,True,complete,3,1,https://c2db.fysik.dtu.dk,c2db_candidate_rows_exhausted,
mos2-band-gap,sha256:819ddd5c90d31b4154cdb6f82e5c7a79519cf8464b791bd355f650695ef2db77,cod,"[""cod""]",succeeded,records_returned,9,9,9,"[[""cod"",9]]",True,True,complete,9,1,,rest_count_matches_json_rows,
mos2-band-gap,sha256:855d849056a9f88bc9a48cc2467ddc34f80c82316599ba114afd6ffe49d8d198,jarvis_dft,"[""jarvis_dft""]",succeeded,records_returned,10,10,10,"[[""jarvis_dft"",10]]",True,True,complete,10,1,,fixed_snapshot_scanned_to_end,
mos2-band-gap,sha256:b08c71821441187a1a204c2df19d5345d65dc0ad26640b0cb18b95c812bb9d03,materials_project,"[""materials_project""]",succeeded,records_returned,12,12,12,"[[""materials_project"",12]]",True,True,complete,,1,,mp_api_chunk_sequence_exhausted,
mos2-band-gap,sha256:527865761fbb0292fcecb44ec6716064d5c61ce9d54840f7307e8a15f40ef68e,materialsgalaxy,"[""materialsgalaxy:ferroelectric"",""materialsgalaxy:layered_structures"",""materialsgalaxy:nonlinear_optical"",""materialsgalaxy:sc_growth"",""materialsgalaxy:topo_crystals"",""materialsgalaxy:topo_phonons""]",succeeded,records_returned,9,9,9,"[[""materialsgalaxy:nonlinear_optical"",3],[""materialsgalaxy:topo_crystals"",4],[""materialsgalaxy:topo_phonons"",2]]",True,True,complete,9,1,1,materials_galaxy_total_reconciled,
mos2-band-gap,sha256:d07458c04db75f80b7b6c5c5bf73bc06068c875eae71d25f2073dda1a6c05c31,mpds,"[""mpds""]",failed,upstream_access_denied,0,0,0,[],True,True,failed,,0,,,
mos2-band-gap,sha256:b4323cae4fb260302a9902566159e011850112bf78ac44139e9edb1cc6c66d37,nomad,"[""nomad""]",succeeded,records_returned,376,376,376,"[[""nomad"",376]]",True,True,complete,376,4,mnNQLdnZnocgarpiLi-68H4ziKvA,nomad_cursor_exhausted,
mos2-band-gap,sha256:78d7d06d5491f52e288f25ffe25c1698f64d50eca01de138a9eece2f3a52a953,optimade:mpddoptimade.phaseslab.org,"[""optimade:mpddoptimade.phaseslab.org""]",failed,upstream_timeout,0,0,0,[],True,True,failed,,0,,,
