case_name,qualified_source_route,aggregate_sources_json,route_state,execution_status,record_result,reason_code,record_count,returned_count,actual_bundle_record_count,actual_bundle_record_sources_json,record_count_matches_actual,returned_count_matches_actual,record_completeness_state,upstream_total,pages_fetched,last_cursor,exhaustion_evidence,truncation_reason,normalized_record_bytes_in_bundle,elapsed_seconds,effective_product_record_limit,effective_product_max_pages,effective_product_max_elapsed_seconds,effective_product_max_normalized_bytes,warning_count,warnings_json,failure_type,message
mos2-band-gap,aflow,[],ready,succeeded,complete,records_returned,19,19,19,"[[""aflow"",19]]",True,True,complete,,1,1,aflow_short_page,,39833,3.041637,10000,10000,300.0,1000000000,0,[],,
mos2-band-gap,alexandria,[],ready,succeeded,complete,records_returned,15,15,15,"[[""alexandria"",15]]",True,True,complete,,1,,alexandria_next_cursor_absent,,33018,1.807222,10000,10000,300.0,1000000000,0,[],,
mos2-band-gap,c2db,[],ready,succeeded,complete,records_returned,3,3,3,"[[""c2db"",3]]",True,True,complete,3,1,https://c2db.fysik.dtu.dk,c2db_candidate_rows_exhausted,,10204,2.171884,10000,10000,300.0,1000000000,0,[],,
mos2-band-gap,cod,[],ready,succeeded,complete,records_returned,9,9,9,"[[""cod"",9]]",True,True,complete,9,1,,rest_count_matches_json_rows,,14412,2.723947,10000,10000,300.0,1000000000,0,[],,
mos2-band-gap,jarvis_dft,[],ready,succeeded,complete,records_returned,10,10,10,"[[""jarvis_dft"",10]]",True,True,complete,10,1,,fixed_snapshot_scanned_to_end,,76557,28.371332,10000,10000,300.0,1000000000,0,[],,
mos2-band-gap,materials_project,[],ready,succeeded,complete,records_returned,12,12,12,"[[""materials_project"",12]]",True,True,complete,,1,,mp_api_chunk_sequence_exhausted,,82247,3.546536,10000,10000,300.0,1000000000,0,[],,
mos2-band-gap,materialsgalaxy,"[""materialsgalaxy:ferroelectric"",""materialsgalaxy:layered_structures"",""materialsgalaxy:nonlinear_optical"",""materialsgalaxy:sc_growth"",""materialsgalaxy:topo_crystals"",""materialsgalaxy:topo_phonons""]",ready,succeeded,complete,records_returned,9,9,9,"[[""materialsgalaxy:nonlinear_optical"",3],[""materialsgalaxy:topo_crystals"",4],[""materialsgalaxy:topo_phonons"",2]]",True,True,complete,9,1,1,materials_galaxy_total_reconciled,,21613,0.562003,10000,10000,300.0,1000000000,0,[],,
mos2-band-gap,mpds,[],ready,failed,failed,upstream_access_denied,0,0,0,[],True,True,,,0,,,,0,1.46277,10000,10000,300.0,1000000000,1,"[{""failure_type"":null,""message"":""{\""failure_type\"":\""access_blocker\"",\""message\"":\""HTTP 402 PAYMENT REQUIRED for https://api.mpds.io/v0/download/facet?q=%7B%22formulae%22%3A%22MoS2%22%2C%22props%22%3A%22atomic+structure%22%7D&pagesize=1000&dtype=1&fmt=json&page=0\"",\""reason_code\"":\""upstream_access_denied\"",\""source\"":\""mpds\""}"",""reason_code"":""source_warning""}]",access_blocker,HTTP 402 PAYMENT REQUIRED for https://api.mpds.io/v0/download/facet?q=%7B%22formulae%22%3A%22MoS2%22%2C%22props%22%3A%22atomic+structure%22%7D&pagesize=1000&dtype=1&fmt=json&page=0
mos2-band-gap,nomad,[],ready,succeeded,complete,records_returned,376,376,376,"[[""nomad"",376]]",True,True,complete,376,4,mnNQLdnZnocgarpiLi-68H4ziKvA,nomad_cursor_exhausted,,458728,4.702965,10000,10000,300.0,1000000000,0,[],,
mos2-band-gap,optimade:mpddoptimade.phaseslab.org,[],ready,failed,failed,upstream_connection_error,0,0,0,[],True,True,,,0,,,,0,5.248771,10000,10000,300.0,1000000000,1,"[{""failure_type"":null,""message"":""{\""failure_type\"":\""service_failure\"",\""message\"":\""Server disconnected without sending a response.\"",\""reason_code\"":\""upstream_connection_error\"",\""source\"":\""optimade:mpddoptimade.phaseslab.org\""}"",""reason_code"":""source_warning""}]",service_failure,Server disconnected without sending a response.
